title,genres,tags,1_star_votes,2_star_votes,3_star_votes,4_star_votes,5_star_votes,overall_rates
MMORPG: The Elementalist,"['Action', 'Adventure', 'Fantasy']","['Elemental Magic', 'Gamers', 'Male Protagonist', 'MMORPG', 'Modern Day', 'Underestimated Protagonist']",12,3,11,2,16,3.2
The True Scandal,"['Psychological', 'Romance', 'Yaoi']","['Adapted to Drama CD', 'Adapted to Manhua', 'Boss-Subordinate Relationship', 'Businessmen', 'Child Abuse', 'Contracts', 'Misunderstandings', 'Modern Day', 'Mysterious Past', 'Past Trauma', 'Wealthy Characters']",4,2,2,2,16,3.9
Wholeheartedly Willing,"['Adult', 'Romance', 'Smut']","['Female Protagonist', 'Modern Day', 'Revenge']",6,2,4,1,14,3.6
I Can View Character Attributes,"['Sci-fi', 'Adventure', 'Martial Arts', 'Action']","['Alternate World', 'Charismatic Protagonist', 'Cheats', 'Male Protagonist', 'Modern Day', 'Poor to Rich', 'Transmigration', 'Weak to Strong']",0,1,1,0,4,4.2
Saving The Black Immortal Venerable,"['Supernatural', 'Xianxia', 'Comedy', 'Martial Arts', 'Romance']","['Beautiful Female Lead', 'Betrayal', 'Bickering Couple', 'Calm Protagonist', 'Cold Love Interests', 'Couple Growth', 'Cultivation', 'Demonic Cultivation Technique', 'Dense Protagonist', 'Devoted Love Interests', 'Female Protagonist', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Love Interest Falls in Love First', 'Multiple Reincarnated Individuals', 'Multiple Transported Individuals', 'Mysterious Past', 'Older Love Interests', 'Past Plays a Big Role', 'Secret Identity', 'Slow Romance', 'Strong Love Interests', 'Tragic Past', 'Weak to Strong']",1,2,6,6,31,4.4
Demon King/The Parting of the Orchid and Cang,"['Psychological', 'Drama', 'Xianxia', 'Adventure', 'Comedy', 'Gender Bender', 'Josei', 'Romance']","['Adapted to Anime', 'Adapted to Drama', 'Adapted to Manhua', 'Bickering Couple', 'Black Belly', 'Body Swap', 'Cold Love Interests', 'Comedic Undertone', 'Demon Lord', 'Demons', 'Determined Protagonist', 'Enemies Become Lovers', 'Female Protagonist', 'Handsome Male Lead', 'Heaven', 'Hell', 'Immortals', 'Mythology', 'Protagonist Falls in Love First', 'Sharing A Body', 'Strong Love Interests', 'Stubborn Protagonist', 'Tsundere']",5,16,9,28,105,4.3
Fantasy Falls,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Sci-fi', 'Supernatural', 'Tragedy', 'Xuanhuan']","['Apocalypse', 'Bloodlines', 'Evolution', 'Game Elements', 'Handsome Male Lead', 'Male Protagonist', 'Modern Day', 'Monsters', 'Zombies']",11,10,9,8,38,3.7
Super Soldier King,"['Harem', 'Supernatural', 'Action', 'Martial Arts', 'Adult']","['Beautiful Female Lead', 'Calm Protagonist', 'Clever Protagonist', 'Confident Protagonist', 'Cultivation', 'Friendship', 'Gangs', 'Genius Protagonist', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Immortals', 'Male Protagonist', 'Mercenaries', 'Modern Day', 'Multiple Realms', 'Nationalism', 'Older Love Interests', 'Polygamy', 'Protagonist Strong from the Start', 'Racism', 'Ruthless Protagonist', 'Secret Identity', 'Siblings Not Related by Blood']",26,12,20,23,97,3.9
A Filthy Rich Hamster in the Apocalypse,"['Sci-fi', 'Adventure', 'Comedy', 'Action', 'Shounen Ai', 'Romance']","['Aliens', 'Amnesia', 'Animal Characteristics', 'Apocalypse', 'Cute Protagonist', 'Doting Love Interests', 'Friendship', 'Handsome Male Lead', 'Heartwarming', 'Hiding True Identity', 'Human-Nonhuman Relationship', 'Magical Space', 'Mercenaries', 'Modern Day', 'Naive Protagonist', 'Overpowered Protagonist', 'Power Couple', 'Royalty', 'Shapeshifters', 'Special Abilities', 'Strong Love Interests', 'Zombies']",10,15,35,42,107,4.1
The Return of the Condor Heroes,"['Action', 'Adventure', 'Romance', 'Wuxia']","['Adapted to Anime', 'Adapted to Drama', 'Adapted to Manhua', 'Clever Protagonist', 'Male Protagonist', 'Quirky Characters', 'R*pe', 'Weak to Strong']",1,2,4,3,29,4.5
The Resplendent Farming Apothecary,"['Drama', 'Adventure', 'Shoujo', 'Slice of Life', 'Fantasy', 'Romance']","['Alchemy', 'Ancient Times', 'Calm Protagonist', 'Carefree Protagonist', 'Clever Protagonist', 'Cold Love Interests', 'Complex Family Relationships', 'Confident Protagonist', 'Cooking', 'Cunning Protagonist', 'Cute Protagonist', 'Devoted Love Interests', 'Doting Love Interests', 'Doting Older Siblings', 'Family', 'Farming', 'Female Protagonist', 'Genius Protagonist', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Magical Space', 'Multiple Transported Individuals', 'Mysterious Family Background', 'Older Love Interests', 'Persistent Love Interests', 'Pill Concocting', 'Playful Protagonist', 'Poor Protagonist', 'Poor to Rich', 'Previous Life Talent', 'Strong Love Interests', 'Transmigration', 'Transported to Another World', 'Weak to Strong', 'Younger Sisters']",5,8,17,26,86,4.3
Demon’s Diary,"['Mystery', 'Harem', 'Xianxia', 'Adventure', 'Action', 'Martial Arts']","['Alchemy', 'Arranged Marriage', 'Artifact Crafting', 'Artifacts', 'Beast Companions', 'Body Tempering', 'Calm Protagonist', 'Cautious Protagonist', 'Clever Protagonist', 'Crafting', 'Cultivation', 'Dao Companion', 'Dao Comprehension', 'Demons', 'Elemental Magic', 'Ghosts', 'Hard-Working Protagonist', 'Heavenly Tribulation', 'Hiding True Abilities', 'Hiding True Identity', 'Late Romance', 'Loner Protagonist', 'Magic Formations', 'Magical Space', 'Male Protagonist', 'Monster Tamer', 'Multiple Identities', 'Necromancer', 'Pill Based Cultivation', 'Pill Concocting', 'Polite Protagonist', 'Polygamy', 'Revenge', 'Schemes And Conspiracies', 'Secretive Protagonist', 'Soul Power', 'Special Abilities', 'Spirit Advisor', 'Strength-based Social Hierarchy', 'Time Skip', 'Underestimated Protagonist', 'Wars', 'Weak to Strong', 'World Travel']",48,30,95,132,387,4.1
"That Village, That Person, That Fool","['Historical', 'Slice of Life', 'Romance']","['Family', 'Marriage', 'Pregnancy', 'Slow Romance', 'Social Outcasts']",0,1,3,4,2,3.7
My Wife Is Dominant,"['Slice of Life', 'Drama', 'Romance']",['Modern Day'],11,3,6,3,12,3.1
Through The Strait Gates,"['School Life', 'Drama', 'Shounen Ai', 'Slice of Life', 'Romance']","['Adapted to Drama CD', 'Age Progression', 'Coming of Age', 'Couple Growth', 'Death', 'Death of Loved Ones', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Love Interest Falls in Love First', 'Lovers Reunited', 'Manly Gay Couple', 'Misunderstandings', 'Modern Day', 'Multiple POV', 'Obsessive Love', 'Playful Protagonist', 'Possessive Characters']",7,3,10,27,135,4.5
