title,genres,one_star,two_star,three_star,four_star,five_star,rating
MMORPG: The Elementalist,Action,12,3,11,2,16,3.2
MMORPG: The Elementalist,Adventure,12,3,11,2,16,3.2
MMORPG: The Elementalist,Fantasy,12,3,11,2,16,3.2
The True Scandal,Psychological,4,2,2,2,16,3.9
The True Scandal,Romance,4,2,2,2,16,3.9
The True Scandal,Yaoi,4,2,2,2,16,3.9
Wholeheartedly Willing,Adult,6,2,4,1,14,3.6
Wholeheartedly Willing,Romance,6,2,4,1,14,3.6
Wholeheartedly Willing,Smut,6,2,4,1,14,3.6
I Can View Character Attributes,Sci-fi,0,1,1,0,4,4.2
I Can View Character Attributes,Adventure,0,1,1,0,4,4.2
I Can View Character Attributes,Martial Arts,0,1,1,0,4,4.2
I Can View Character Attributes,Action,0,1,1,0,4,4.2
Saving The Black Immortal Venerable,Supernatural,1,2,6,6,31,4.4
Saving The Black Immortal Venerable,Xianxia,1,2,6,6,31,4.4
Saving The Black Immortal Venerable,Comedy,1,2,6,6,31,4.4
Saving The Black Immortal Venerable,Martial Arts,1,2,6,6,31,4.4
Saving The Black Immortal Venerable,Romance,1,2,6,6,31,4.4
Demon King/The Parting of the Orchid and Cang,Psychological,5,16,9,28,105,4.3
Demon King/The Parting of the Orchid and Cang,Drama,5,16,9,28,105,4.3
Demon King/The Parting of the Orchid and Cang,Xianxia,5,16,9,28,105,4.3
Demon King/The Parting of the Orchid and Cang,Adventure,5,16,9,28,105,4.3
Demon King/The Parting of the Orchid and Cang,Comedy,5,16,9,28,105,4.3
Demon King/The Parting of the Orchid and Cang,Gender Bender,5,16,9,28,105,4.3
Demon King/The Parting of the Orchid and Cang,Josei,5,16,9,28,105,4.3
Demon King/The Parting of the Orchid and Cang,Romance,5,16,9,28,105,4.3
Fantasy Falls,Action,11,10,9,8,38,3.7
Fantasy Falls,Adventure,11,10,9,8,38,3.7
Fantasy Falls,Drama,11,10,9,8,38,3.7
Fantasy Falls,Fantasy,11,10,9,8,38,3.7
Fantasy Falls,Sci-fi,11,10,9,8,38,3.7
Fantasy Falls,Supernatural,11,10,9,8,38,3.7
Fantasy Falls,Tragedy,11,10,9,8,38,3.7
Fantasy Falls,Xuanhuan,11,10,9,8,38,3.7
Super Soldier King,Harem,26,12,20,23,97,3.9
Super Soldier King,Supernatural,26,12,20,23,97,3.9
Super Soldier King,Action,26,12,20,23,97,3.9
Super Soldier King,Martial Arts,26,12,20,23,97,3.9
Super Soldier King,Adult,26,12,20,23,97,3.9
A Filthy Rich Hamster in the Apocalypse,Sci-fi,10,15,35,42,107,4.1
A Filthy Rich Hamster in the Apocalypse,Adventure,10,15,35,42,107,4.1
A Filthy Rich Hamster in the Apocalypse,Comedy,10,15,35,42,107,4.1
A Filthy Rich Hamster in the Apocalypse,Action,10,15,35,42,107,4.1
A Filthy Rich Hamster in the Apocalypse,Shounen Ai,10,15,35,42,107,4.1
A Filthy Rich Hamster in the Apocalypse,Romance,10,15,35,42,107,4.1
The Return of the Condor Heroes,Action,1,2,4,3,29,4.5
The Return of the Condor Heroes,Adventure,1,2,4,3,29,4.5
The Return of the Condor Heroes,Romance,1,2,4,3,29,4.5
The Return of the Condor Heroes,Wuxia,1,2,4,3,29,4.5
